접근수단,중분류,격자수,평균_H3SFCA,중앙값_H3SFCA,하위10퍼센트,상위90퍼센트,평균_접근가능가맹점수
대중교통,미술,55647,0.0018460333325305133,0.00143796233151506,0.0010774977835009622,0.0027238795085833207,158.97766276708538
대중교통,공연,53673,0.00041803707048434477,0.00030078234778392214,0.00011901906203782795,0.0006548357934674112,35.09185251429955
대중교통,관광지,51638,0.00010970542936307146,8.990633530427141e-05,6.336726160779817e-05,0.00015083345971074846,9.351756458422093
대중교통,스포츠관람,32760,7.65758590829896e-05,2.9613912557348917e-05,1.0930451109883283e-05,0.0001876092186294117,3.9936813186813187
도보,영상,6598,0.08428133836668988,0.0017940630586772103,0.00046178153281708063,0.01610927506146286,1.4389208851167021
도보,체육용품,17660,0.03254446837344946,0.0010708289527370852,0.0005041262426247817,0.0034582664593749406,1.702718006795017
도보,도서,24667,0.018914924376067583,0.0016878940082609862,0.0005404794214233536,0.014114354852805227,2.2108485020472695
도보,체육시설,31128,0.009920624600011679,0.0026994789292928466,0.0011669595566113696,0.008632213217620009,3.459361346697507
도보,음악,4966,0.007288700020822596,0.0012643974669864031,0.00036780047238325,0.015275991445750078,2.92327829238824
도보,문화체험,25772,0.005498057296142981,0.0014678441394533946,0.0006161982728390515,0.009866897326130452,2.0472993946919136
