접근수단,시군구_격자,행정동_격자,중분류,평균_H3SFCA,중앙값_H3SFCA,격자수,평균_접근가능가맹점수
도보,강북구,송중동,체육용품,0.0009092933122863641,0.0009762837251531077,95,2.6526315789473682
도보,강북구,송천동,도서,0.0010434283980959489,0.0007810495320609359,77,2.4675324675324677
도보,강북구,송천동,문화체험,0.0012545535914199823,0.001187817241792555,94,3.425531914893617
도보,강북구,송천동,영상,0.0006884130333045939,0.0006884130333045939,16,1.0
도보,강북구,송천동,음악,0.0008029704812053555,0.0008029704812053555,4,1.0
도보,강북구,송천동,체육시설,0.0016671670012020111,0.0016447469036074708,93,6.053763440860215
도보,강북구,송천동,체육용품,0.000743740112153259,0.0008506130538505429,66,1.8333333333333333
도보,강북구,수유1동,도서,0.0003629000337867122,0.0003142117799367909,72,1.1527777777777777
도보,강북구,수유1동,문화체험,0.0010706001515041925,0.0008878308064262858,106,2.2830188679245285
도보,강북구,수유1동,영상,0.00047884479844783153,0.00046178153281708063,26,1.4230769230769231
도보,강북구,수유1동,체육시설,0.0011916984384917966,0.0009240495248201841,72,4.041666666666667
도보,강북구,수유1동,체육용품,0.00048069054818832495,0.0004382589513816552,65,2.046153846153846
도보,강북구,수유2동,도서,0.0010511575393571655,0.0009640332239154526,8,1.5
도보,강북구,수유2동,문화체험,0.0006295157669747048,0.0006151908621507208,58,2.0172413793103448
도보,강북구,수유2동,영상,0.00032114460654013706,0.00032114460654013706,1,1.0
도보,강북구,수유2동,음악,0.0003076410999742294,0.0003076410999742294,17,1.0
도보,강북구,수유2동,체육시설,0.0034951227040822567,0.0034860948058418537,58,13.120689655172415
도보,강북구,수유2동,체육용품,0.0006288821537798107,0.0007393180170483175,52,2.076923076923077
도보,강북구,수유3동,도서,0.001138535892780508,0.0011597459509828773,63,3.984126984126984
도보,강북구,수유3동,문화체험,0.0012923986857955511,0.001238891104778561,75,4.493333333333333
도보,강북구,수유3동,영상,0.000428595404467602,0.00046178153281708063,64,1.5
도보,강북구,수유3동,음악,0.0003076410999742294,0.0003076410999742294,3,1.0
도보,강북구,수유3동,체육시설,0.003658041268407364,0.0036675960254548405,75,14.56
도보,강북구,수유3동,체육용품,0.0007204698345188592,0.0007629973555446875,75,2.8
도보,강북구,우이동,도서,0.0010054169066508428,0.0005879084800329967,70,1.1142857142857143
도보,강북구,우이동,문화체험,0.000721364884223125,0.0007301717225070169,56,1.3035714285714286
도보,강북구,우이동,음악,0.0003076410999742294,0.0003076410999742294,22,1.0
도보,강북구,우이동,체육시설,0.0031492924672778155,0.002754829867004301,169,3.7041420118343193
도보,강북구,우이동,체육용품,0.00033893431393991393,0.00033893431393991393,22,1.0
도보,강북구,인수동,도서,0.0005581651525590376,0.0005879084800329967,37,1.2972972972972974
도보,강북구,인수동,문화체험,0.0007061954545055174,0.0006480611518292281,110,2.081818181818182
도보,강북구,인수동,영상,0.0004745703525785384,0.00046178153281708063,22,1.4545454545454546
