접근수단,가맹점_ID,중분류,시설_유효수요,가맹점명,시군구_가맹점,소분류,공급량,시설_공급수요비
도보,STORE_00869,체육시설,197.41037761365473,필라테스오운,강서구,체육시설,1.0,0.005065589824041908
도보,STORE_00766,체육용품,1610.927330044251,삼천리자전거 화곡은하점(은하코렉스),강서구,체육용품,1.0,0.0006207604659438801
도보,STORE_00771,체육시설,403.8935047871997,서울당구클럽,강서구,체육시설,1.0,0.0024759001770203568
도보,STORE_00670,체육시설,248.31234209103943,나비당구클럽,강서구,체육시설,1.0,0.0040271860495495115
도보,STORE_00848,도서,1254.731714812002,책의향기서점,강서구,도서,1.0,0.0007969831225233923
도보,STORE_02367,문화체험,250.49122976542745,태제로,마포구,문화체험,1.0,0.0039921557370948685
도보,STORE_04118,문화체험,422.72451332600446,숭인1동 주민센터,종로구,문화체험,1.0,0.00236560683962229
도보,STORE_04253,문화체험,426.3855341284101,창신제3동주민센터,종로구,문화체험,1.0,0.0023452953253776205
도보,STORE_00920,체육시설,166.26946894643382,관악구민종합체육센터(관악구시설관리공단),관악구,체육시설,1.0,0.006014333276797588
도보,STORE_00976,문화체험,725.217877316728,미성동 주민센터,관악구,문화체험,1.0,0.0013788959584117712
도보,STORE_01034,체육시설,971.8448208101548,용인대강태권도,관악구,체육시설,1.0,0.0010289708589138484
도보,STORE_01060,체육시설,844.7845313914959,천마태권스쿨 (천마태권도장),관악구,체육시설,1.0,0.0011837337958270132
도보,STORE_00950,도서,1702.5882950442297,다솜서점,관악구,도서,1.0,0.0005873410518037317
도보,STORE_00986,문화체험,626.0850869438864,보아 매듭,관악구,문화체험,1.0,0.0015972269917517237
도보,STORE_01015,문화체험,636.3665082000452,아트댄스학원,관악구,문화체험,1.0,0.0015714214797829125
도보,STORE_01056,도서,2587.151547554231,좋은책서점,관악구,도서,1.0,0.0003865254824153429
도보,STORE_00909,체육시설,449.2297583794773,J 다이어트 복싱 체육관,관악구,체육시설,1.0,0.0022260324062398184
도보,STORE_01054,문화체험,1086.5157890338357,정이네 힐링공방,관악구,문화체험,1.0,0.0009203731874796147
도보,STORE_00934,문화체험,848.6214906363282,꿈꾸는 뮤직스튜디오,관악구,문화체험,1.0,0.0011783816590010732
도보,STORE_00942,체육시설,1648.3424012658484,남부태권도 (남부체육관),관악구,체육시설,1.0,0.0006066700700243151
도보,STORE_01082,체육용품,1869.9293642093612,한미스포츠,관악구,체육용품,1.0,0.0005347795585972936
도보,STORE_00939,문화체험,407.59217102938004,난곡동 주민센터,관악구,문화체험,1.0,0.00245343279649971
도보,STORE_01277,문화체험,143.53135270117195,구로1동 주민자치위원회,구로구,문화체험,1.0,0.006967118898976522
도보,STORE_03016,체육시설,568.2299659682412,NEW 지펠당구장,송파구,체육시설,1.0,0.0017598508700540632
도보,STORE_03093,문화체험,548.9126398078793,사단법인 월드유스비전,송파구,문화체험,1.0,0.001821783517956523
도보,STORE_03078,도서,939.5591690159662,미래서적,송파구,도서,1.0,0.001064328924645944
도보,STORE_02053,도서,826.6098354088086,Tallship Bookstore(톨쉽북스토어),동작구,도서,1.0,0.0012097605873579273
도보,STORE_02124,도서,137.04472158041767,양현책세상,동작구,도서,1.0,0.007296888114097858
도보,STORE_02059,문화체험,1311.2129115419018,길위문화협동조합,동작구,문화체험,1.0,0.0007626526487022345
도보,STORE_02141,도서,161.1912027581802,이그잼플러스,동작구,도서,1.0,0.006203812508925842
도보,STORE_02147,도서,85.53739376621168,종일문화사,동작구,도서,1.0,0.011690793417591971
도보,STORE_02149,체육용품,1129.5811702591493,참화상회,동작구,체육용품,1.0,0.0008852838789536296
도보,STORE_02165,도서,122.38683164869089,홍문관서적,동작구,도서,1.0,0.008170813693996764
도보,STORE_02146,도서,164.66748300765656,제일서점,동작구,도서,1.0,0.006072844387580169
도보,STORE_02061,도서,74.22645150861584,놀숲 노량진점,동작구,도서,1.0,0.013472286222438169
도보,STORE_03577,체육시설,232.07089920129928,짐브라운,영등포구,체육시설,1.0,0.004309027988608756
도보,STORE_03584,체육시설,199.9476295269414,초이스당구장,영등포구,체육시설,1.0,0.005001309604749566
도보,STORE_03494,체육시설,177.6102899290843,모델비필라테스(모델비주식회사),영등포구,체육시설,1.0,0.005630304417605967
도보,STORE_01694,체육시설,272.65057423528395,운동에 빠지다,노원구,체육시설,1.0,0.0036676981253560446
도보,STORE_01735,체육시설,338.16794495447743,커브스 공릉클럽,노원구,체육시설,1.0,0.0029571105568110996
