"동별(1)",동별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"동별(1)",동별(2),총 수급자,총 수급자,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,특례수급자,특례수급자,시설수급자,시설수급자,시설수급자,시설수급자,시설수급자
"동별(1)",동별(2),가구 (가구),시설수 (개소),인원 (명),인원 (명),인원 (명),가구 (가구),인원 (명),인원 (명),인원 (명),가구 (가구),인원 (명),인원 (명),인원 (명),가구 (가구),인원 (명),인원 (명),인원 (명),시설수 (개소),가구 (가구),인원 (명),인원 (명),인원 (명)
"동별(1)",동별(2),소계,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,소계,남자,여자
"용산구",원효로1동,364,-,450,263,187,296,367,210,157,57,71,46,25,11,12,7,5,-,-,-,-,-
"용산구",원효로2동,375,-,492,217,275,320,402,174,228,46,79,39,40,9,11,4,7,-,-,-,-,-
"용산구",효창동,118,-,162,68,94,93,116,49,67,20,40,16,24,5,6,3,3,-,-,-,-,-
"용산구",용문동,371,-,456,160,296,336,401,134,267,33,51,24,27,2,4,2,2,-,-,-,-,-
"용산구",한강로동,340,-,447,221,226,288,360,176,184,46,80,43,37,6,7,2,5,-,-,-,-,-
"용산구",이촌1동,40,-,58,22,36,37,49,18,31,3,9,4,5,-,-,-,-,-,-,-,-,-
"용산구",이촌2동,141,-,199,79,120,127,172,64,108,12,25,14,11,2,2,1,1,-,-,-,-,-
"용산구",이태원1동,193,-,242,105,137,159,188,74,114,30,50,29,21,4,4,2,2,-,-,-,-,-
"용산구",이태원2동,225,-,316,114,202,191,257,93,164,28,53,19,34,6,6,2,4,-,-,-,-,-
"용산구",한남동,397,-,496,231,265,319,385,179,206,65,96,43,53,13,15,9,6,-,-,-,-,-
"용산구",서빙고동,268,-,389,175,214,220,293,128,165,42,87,41,46,6,9,6,3,-,-,-,-,-
"용산구",보광동,770,-,1058,459,599,631,825,346,479,122,213,103,110,17,20,10,10,-,-,-,-,-
"용산구",기타,7,10,259,107,152,6,9,4,5,1,2,1,1,-,-,-,-,10,248,248,102,146
"성동구",소계,7947,13,10561,5161,5400,6459,7998,3782,4216,1384,2235,1181,1054,104,121,62,59,13,207,207,136,71
"성동구",왕십리2동,465,-,616,275,341,375,465,203,262,86,144,69,75,4,7,3,4,-,-,-,-,-
"성동구",왕십리도선동,775,-,991,452,539,641,780,340,440,126,201,105,96,8,10,7,3,-,-,-,-,-
"성동구",마장동,604,-,855,408,447,484,632,291,341,104,203,109,94,16,20,8,12,-,-,-,-,-
"성동구",사근동,205,-,247,112,135,166,191,85,106,32,49,22,27,7,7,5,2,-,-,-,-,-
"성동구",행당1동,300,-,403,195,208,240,317,151,166,55,81,43,38,5,5,1,4,-,-,-,-,-
"성동구",행당2동,686,-,905,344,561,581,737,272,465,98,161,69,92,7,7,3,4,-,-,-,-,-
"성동구",응봉동,178,-,249,123,126,149,203,99,104,29,46,24,22,-,-,-,-,-,-,-,-,-
"성동구",금호1가동,586,-,740,291,449,495,594,227,367,82,137,59,78,9,9,5,4,-,-,-,-,-
"성동구",금호2.3가동,587,-,799,349,450,475,610,263,347,108,183,83,100,4,6,3,3,-,-,-,-,-
"성동구",금호4가동,395,-,500,207,293,336,408,159,249,58,90,47,43,1,2,1,1,-,-,-,-,-
"성동구",옥수동,422,-,585,246,339,349,449,185,264,59,119,53,66,14,17,8,9,-,-,-,-,-
"성동구",성수1가1동,389,-,521,293,228,315,398,227,171,71,118,64,54,3,5,2,3,-,-,-,-,-
"성동구",성수1가2동,160,-,205,113,92,122,157,86,71,36,46,27,19,2,2,-,2,-,-,-,-,-
"성동구",성수2가1동,636,-,808,469,339,506,601,343,258,127,204,124,80,3,3,2,1,-,-,-,-,-
"성동구",성수2가3동,187,-,216,149,67,131,149,99,50,53,64,47,17,3,3,3,-,-,-,-,-,-
"성동구",송정동,588,-,741,413,328,482,598,325,273,103,140,85,55,3,3,3,-,-,-,-,-,-
"성동구",용답동,777,-,966,579,387,606,703,421,282,156,248,150,98,15,15,8,7,-,-,-,-,-
"성동구",기타,7,13,214,143,71,6,6,6,-,1,1,1,-,-,-,-,-,13,207,207,136,71
"광진구",소계,10443,19,14058,6687,7371,8584,11110,5204,5906,1791,2751,1422,1329,68,87,44,43,19,110,110,17,93
"광진구",화양동,580,-,680,386,294,484,571,318,253,95,108,68,40,1,1,-,1,-,-,-,-,-
"광진구",군자동,741,-,948,494,454,644,828,420,408,92,114,70,44,5,6,4,2,-,-,-,-,-
"광진구",중곡1동,708,-,983,456,527,571,770,357,413,133,209,97,112,4,4,2,2,-,-,-,-,-
"광진구",중곡2동,758,-,1037,501,536,611,802,377,425,141,229,120,109,6,6,4,2,-,-,-,-,-
"광진구",중곡3동,929,-,1288,607,681,738,985,454,531,188,298,151,147,3,5,2,3,-,-,-,-,-
"광진구",중곡4동,1203,-,1671,739,932,994,1324,584,740,196,331,148,183,13,16,7,9,-,-,-,-,-
"광진구",능동,308,-,410,190,220,254,336,148,188,52,72,40,32,2,2,2,-,-,-,-,-,-
"광진구",광장동,212,-,272,131,141,191,239,117,122,18,27,11,16,3,6,3,3,-,-,-,-,-
"광진구",자양1동,1010,-,1356,637,719,865,1121,514,607,132,217,113,104,13,18,10,8,-,-,-,-,-
"광진구",자양2동,699,-,971,437,534,562,737,330,407,134,229,105,124,3,5,2,3,-,-,-,-,-
"광진구",자양3동,309,-,410,191,219,264,348,151,197,45,62,40,22,-,-,-,-,-,-,-,-,-
"광진구",자양4동,894,-,1046,572,474,680,764,397,367,208,276,173,103,6,6,2,4,-,-,-,-,-
"광진구",구의1동,814,-,1085,526,559,695,909,432,477,115,172,92,80,4,4,2,2,-,-,-,-,-
"광진구",구의2동,875,-,1247,558,689,700,960,415,545,171,283,142,141,4,4,1,3,-,-,-,-,-
"광진구",구의3동,402,-,543,244,299,330,415,189,226,71,124,52,72,1,4,3,1,-,-,-,-,-
"광진구",기타,1,19,111,18,93,1,1,1,-,-,-,-,-,-,-,-,-,19,110,110,17,93
"동대문구",소계,12962,28,16524,8402,8122,10848,13208,6686,6522,1726,2678,1451,1227,388,459,200,259,28,179,179,65,114
"동대문구",용신동,1491,-,1730,1044,686,1257,1428,832,596,198,264,183,81,36,38,29,9,-,-,-,-,-
"동대문구",제기동,1314,-,1564,903,661,1107,1282,738,544,168,232,141,91,39,50,24,26,-,-,-,-,-
"동대문구",전농1동,1537,-,1893,993,900,1268,1511,791,720,206,310,174,136,63,72,28,44,-,-,-,-,-
"동대문구",전농2동,615,-,793,313,480,514,639,241,398,71,120,58,62,30,34,14,20,-,-,-,-,-
"동대문구",답십리1동,676,-,868,412,456,558,695,325,370,93,144,77,67,25,29,10,19,-,-,-,-,-
"동대문구",답십리2동,1085,-,1380,617,763,959,1187,524,663,95,156,79,77,31,37,14,23,-,-,-,-,-
"동대문구",장안1동,1213,-,1634,803,831,1010,1286,643,643,180,321,146,175,23,27,14,13,-,-,-,-,-
"동대문구",장안2동,1050,-,1532,761,771,824,1136,570,566,206,369,182,187,20,27,9,18,-,-,-,-,-
"동대문구",청량리동,1582,-,1849,965,884,1355,1543,793,750,184,252,151,101,43,54,21,33,-,-,-,-,-
"동대문구",회기동,259,-,322,165,157,202,244,122,122,52,71,41,30,5,7,2,5,-,-,-,-,-
"동대문구",휘경1동,276,-,343,186,157,220,267,138,129,49,68,43,25,7,8,5,3,-,-,-,-,-
"동대문구",휘경2동,516,-,668,332,336,444,565,287,278,63,94,40,54,9,9,5,4,-,-,-,-,-
"동대문구",이문1동,599,-,770,387,383,502,621,309,312,78,126,65,61,19,23,13,10,-,-,-,-,-
"동대문구",이문2동,734,-,986,449,537,614,791,366,425,82,151,71,80,38,44,12,32,-,-,-,-,-
"동대문구",기타,15,28,192,72,120,14,13,7,6,1,-,-,-,-,-,-,-,28,179,179,65,114
"중랑구",소계,20919,45,29059,13597,15462,18456,24390,11393,12997,2297,3902,1976,1926,166,202,96,106,45,565,565,132,433
"중랑구",면목2동,1405,-,1844,882,962,1256,1615,770,845,143,219,107,112,6,10,5,5,-,-,-,-,-
"중랑구",면목4동,1320,-,1835,843,992,1173,1570,704,866,138,255,134,121,9,10,5,5,-,-,-,-,-
"중랑구",면목5동,582,-,858,417,441,501,722,345,377,78,131,71,60,3,5,1,4,-,-,-,-,-
"중랑구",면목본동,2030,-,2668,1275,1393,1806,2334,1089,1245,205,314,173,141,19,20,13,7,-,-,-,-,-
"중랑구",면목7동,975,-,1217,593,624,849,1030,494,536,118,177,98,79,8,10,1,9,-,-,-,-,-
"중랑구",면목3.8동,1514,-,1996,918,1078,1332,1710,776,934,162,265,134,131,20,21,8,13,-,-,-,-,-
"중랑구",상봉1동,1247,-,1795,816,979,1102,1524,686,838,138,258,123,135,7,13,7,6,-,-,-,-,-
"중랑구",상봉2동,978,-,1219,648,571,851,1044,547,497,119,167,97,70,8,8,4,4,-,-,-,-,-
"중랑구",중화1동,822,-,1159,559,600,689,927,439,488,129,227,117,110,4,5,3,2,-,-,-,-,-
"중랑구",중화2동,2037,-,2602,1312,1290,1778,2191,1098,1093,246,397,208,189,13,14,6,8,-,-,-,-,-
"중랑구",묵1동,885,-,1261,541,720,789,1095,460,635,88,156,74,82,8,10,7,3,-,-,-,-,-
